Carné,Nombre y apellidos,Correo,Teléfono,Nickname,Tipo estudiante,Nota promedio (exámenes),Nota promedio (quices),Nota promedio (tareas),Nota Proyecto #1,Nota Proyecto #2,Nota Proyecto #3
9463,Heather Franco,drozd87@gmailiz.com,87661928,culturedShads0,A,24,52,41,35,11,42
9550,Michelle Rios,opie16@enhanceronly.com,80690564,grumpyMeerkat6,B,30,84,99,98,45,86
2682,Ronald Bautista,astagafa@whymustyarz.com,88659957,boredMoth6,B,67,5,95,98,6,49
6235,Morgan Murphy,danpl77@emvil.com,84660985,soreMacaw9,A,96,40,93,2,58,26
2263,Donald Brown,serseles@o0i.es,88932641,insecureCoconut7,A,49,86,24,16,75,16
8114,Judy Walters,fricci@cuenmex.com,82825139,mildFalcon8,A,11,81,50,50,28,4
1427,Joshua Kim,tinito@banten.me,81486018,culturedHoopoe6,A,78,89,52,6,37,82
9233,Alice Garcia,karuznina@minggu.me,87809431,wearyMeerkat0,A,98,21,91,52,21,71
6939,Karen Charles,msgris@bomukic.com,81474637,cheerfulSeahorse7,A,34,38,45,100,8,57
8091,Angela Wallace,tdesefano@goblinhammer.com,88197792,innocentRaisins4,B,68,7,90,61,54,33
8892,Jonathan Carpenter,reneejwade@netvemovie.com,86060903,spiritedRuffs2,B,68,62,48,51,83,49
3941,Shawn Pineda,acropolisp@disipulo.com,81784041,yearningTacos1,B,75,32,59,63,21,54
4287,Paul Williams,mikasand1@cuendita.com,83039542,peacefulCrane0,A,82,41,77,46,72,29
4152,Mitchell Ramos,garyashwell19@emvil.com,82572594,peacefulChowder2,B,62,89,50,68,9,13
1521,Richard Johnson,mijgun@bomukic.com,80982448,pacifiedDunbird0,A,50,85,42,98,20,41
1354,Anthony Irwin,121223@crackpot.ga,89277596,mercifulBobolink3,B,2,73,37,78,27,89
1133,Wayne Pugh,rikaley@instapp.top,89878839,aloofZebra0,A,86,32,18,34,57,80
9097,Vanessa Dodson,undefisr4dg@hungta2.com,88499528,giddyToucan4,B,61,70,60,85,17,88
6754,Joann Wall,viktorcfc2@yuinhami.com,89431257,grizzledCrane8,B,4,51,54,15,40,96
3094,Maria Franco,7uxd792r@redaksikabar.com,80423750,eagerOrange7,A,73,12,91,88,28,80
2797,Lisa Edwards,psu6@buzzcol.com,85493343,jumpyCaribou2,A,93,86,85,16,47,39
9630,Abigail Arnold,roshina70@shanemalakas.com,87039252,pridefulBasmati4,B,6,22,86,56,72,57
7653,Brittany Flynn,g9knvezp@banten.me,85055556,troubledOryx9,A,24,51,35,92,64,98
5018,Kelly Cruz,brandnewstereo@vittato.com,80301317,jubilantDingo2,A,74,64,78,22,13,1
9713,Joe Watts,smith186@masjoco.com,88936401,cheerfulMeerkat7,A,86,30,88,40,74,65
7048,Travis Bond,jukic1989@yuinhami.com,80173269,crushedPear4,A,25,11,16,91,100,85
5256,Lance Harrington,hotntot@gmailiz.com,84436907,peskyHoopoe6,B,50,81,96,78,29,13
3590,Helen Williams,kensai99@wpdork.com,84425745,pitifulOrange4,A,17,46,81,66,48,50
4963,Keith Lewis,makihiro@usbvap.com,88963855,pacifiedTermite0,A,94,75,79,61,4,99
